Марка;Сслыка;Цена в $;Цена  в UAH;Город
ВАЗ 21011975;https://auto.ria.com/uk/auto_vaz_2101_30708486.html;885;23 709 грн;Кропивницький (Кіровоград)
ВАЗ 11182008;https://auto.ria.com/uk/auto_vaz_1118_30722198.html;3 700;99 123 грн;Тернопіль
ВАЗ 21061993;https://auto.ria.com/uk/auto_vaz_2106_30759939.html;850;22 772 грн;Стрий
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_30950864.html;3 600;96 444 грн;Київ
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_30367519.html;2 200;58 938 грн;Івано-Франківськ
ВАЗ 2101 vaz1975;https://auto.ria.com/uk/auto_vaz_2101_30937862.html;1 500;40 185 грн;Вінниця
ВАЗ 2101 210111980;https://auto.ria.com/uk/auto_vaz_2101_30929309.html;1 400;37 506 грн;Хорол
ВАЗ 21122008;https://auto.ria.com/uk/auto_vaz_2112_30299587.html;3 100;83 049 грн;Івано-Франківськ
ВАЗ 21902013;https://auto.ria.com/uk/auto_vaz_2190_30612182.html;4 650;124 574 грн;Кременчук
ВАЗ 2101 21011974;https://auto.ria.com/uk/auto_vaz_2101_31136984.html;850;22 772 грн;Чернівці
ВАЗ 21722008;https://auto.ria.com/uk/auto_vaz_2172_31136972.html;3 700;99 123 грн;Житомир
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_29650648.html;2 000;53 580 грн;Чорноморськ (Іллічівськ)
ВАЗ 2106 21061983;https://auto.ria.com/uk/auto_vaz_2106_31136841.html;470;12 591 грн;Хотин
ВАЗ 21091992;https://auto.ria.com/uk/auto_vaz_2109_31136937.html;1 500;40 185 грн;Ворохта
ВАЗ 21211989;https://auto.ria.com/uk/auto_vaz_2121_31136857.html;3 200;85 728 грн;Броди
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_31136861.html;2 000;53 580 грн;Тернопіль
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31136913.html;4 600;123 234 грн;Якимівка
ВАЗ 21061985;https://auto.ria.com/uk/auto_vaz_2106_30800177.html;1 306;35 000 грн;Лохвиця
ВАЗ 21122008;https://auto.ria.com/uk/auto_vaz_2112_31136895.html;3 500;93 765 грн;Кременчук
ВАЗ 21091996;https://auto.ria.com/uk/auto_vaz_2109_31136778.html;2 688;72 000 грн;Ромни
ВАЗ 21152007;https://auto.ria.com/uk/auto_vaz_2115_31136779.html;2 300;61 617 грн з ПДВ;Васильків
ВАЗ 21211987;https://auto.ria.com/uk/auto_vaz_2121_31072640.html;2 500;66 975 грн;Селидове
ВАЗ 21092004;https://auto.ria.com/uk/auto_vaz_2109_31136875.html;1 800;48 222 грн;Мукачеве
ВАЗ 21091991;https://auto.ria.com/uk/auto_vaz_2109_31136862.html;1 050;28 130 грн;Яворів
ВАЗ 21011980;https://auto.ria.com/uk/auto_vaz_2101_31136812.html;2 500;66 975 грн;Кропивницький (Кіровоград)
ВАЗ 21072008;https://auto.ria.com/uk/auto_vaz_2107_31136849.html;2 450;65 636 грн;Запоріжжя
ВАЗ 21902013;https://auto.ria.com/uk/auto_vaz_2190_25640198.html;5 500;147 345 грн;Оріхів
ВАЗ 21071986;https://auto.ria.com/uk/auto_vaz_2107_31136830.html;1 200;32 148 грн;Виноградів
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_31136818.html;3 150;84 389 грн;Хотин
ВАЗ 21112002;https://auto.ria.com/uk/auto_vaz_2111_31136781.html;1 699;45 516 грн;Тульчин
ВАЗ 21102005;https://auto.ria.com/uk/auto_vaz_2110_31136730.html;3 000;80 370 грн;Мукачеве
ВАЗ 21061990;https://auto.ria.com/uk/auto_vaz_2106_31136726.html;1 150;30 809 грн;Чернівці
ВАЗ 212132003;https://auto.ria.com/uk/auto_vaz_21213_31136710.html;5 000;133 950 грн;Болград
ВАЗ 21071986;https://auto.ria.com/uk/auto_vaz_2107_31136700.html;850;22 772 грн;Чорноморськ (Іллічівськ)
ВАЗ 21112002;https://auto.ria.com/uk/auto_vaz_2111_30828430.html;2 600;69 654 грн;Мелітополь
ВАЗ 21031978;https://auto.ria.com/uk/auto_vaz_2103_31136678.html;2 500;66 975 грн;Сєвєродонецьк
ВАЗ 21092004;https://auto.ria.com/uk/auto_vaz_2109_31136655.html;1 699;45 516 грн;Львів
ВАЗ 21091994;https://auto.ria.com/uk/auto_vaz_2109_31136677.html;1 300;34 827 грн;Вижниця
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_31119021.html;1 200;32 148 грн;Кам'янка-Бузька
ВАЗ 21011983;https://auto.ria.com/uk/auto_vaz_2101_31136618.html;1 900;50 901 грн;Запоріжжя
ВАЗ 21091988;https://auto.ria.com/uk/auto_vaz_2109_31136588.html;1 300;34 827 грн;Вінниця
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_31136575.html;1 850;49 562 грн;Могилів-Подільський
ВАЗ 21092008;https://auto.ria.com/uk/auto_vaz_2109_31136543.html;3 000;80 370 грн;Мукачеве
ВАЗ 21211982;https://auto.ria.com/uk/auto_vaz_2121_30417478.html;4 500;120 555 грн;Львів
ВАЗ 21102008;https://auto.ria.com/uk/auto_vaz_2110_31136513.html;3 700;99 123 грн;Маріуполь
ВАЗ 2106 1.61982;https://auto.ria.com/uk/auto_vaz_2106_31136486.html;1 600;42 864 грн;Харків
ВАЗ 21092007;https://auto.ria.com/uk/auto_vaz_2109_31136405.html;2 000;53 580 грн;Олешки (Цюрупинськ)
ВАЗ 21061998;https://auto.ria.com/uk/auto_vaz_2106_31136445.html;2 200;58 938 грн;Одеса
ВАЗ 21051989;https://auto.ria.com/uk/auto_vaz_2105_31136434.html;700;18 753 грн;Умань
ВАЗ 21152008;https://auto.ria.com/uk/auto_vaz_2115_31136410.html;2 600;69 654 грн;Умань
ВАЗ 21091989;https://auto.ria.com/uk/auto_vaz_2109_31136359.html;1 385;37 104 грн;Одеса
ВАЗ 21011978;https://auto.ria.com/uk/auto_vaz_2101_31136136.html;597;16 000 грн;Харків
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_30761599.html;2 610;69 922 грн;Хорошів (Володарськ-Волинський)
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31136237.html;3 200;85 728 грн;Бучач
ВАЗ 21011979;https://auto.ria.com/uk/auto_vaz_2101_31136282.html;800;21 432 грн;Харків
ВАЗ 21071990;https://auto.ria.com/uk/auto_vaz_2107_31136280.html;1 500;40 185 грн;Хмельницький
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_31136274.html;3 200;85 728 грн;Маріуполь
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_31136268.html;2 750;73 673 грн;Мала Виска
ВАЗ 21142007;https://auto.ria.com/uk/auto_vaz_2114_30642057.html;2 800;75 012 грн;Нова Ушиця
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_31136243.html;1 699;45 516 грн;Кропивницький (Кіровоград)
ВАЗ 212142012;https://auto.ria.com/uk/auto_vaz_21214_31136164.html;5 000;133 950 грн;Луцьк
ВАЗ 21061992;https://auto.ria.com/uk/auto_vaz_2106_31136191.html;700;18 753 грн з ПДВ;Зборів
ВАЗ 21722010;https://auto.ria.com/uk/auto_vaz_2172_30897555.html;4 300;115 197 грн;Лубни
ВАЗ 21112000;https://auto.ria.com/uk/auto_vaz_2111_31136149.html;2 500;66 975 грн;Кривий Ріг
ВАЗ 21102011;https://auto.ria.com/uk/auto_vaz_2110_31136114.html;3 850;103 142 грн;Врадіївка
ВАЗ 21152006;https://auto.ria.com/uk/auto_vaz_2115_30885894.html;2 950;79 031 грн;Вовчанськ
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_28956856.html;2 280;61 081 грн;Івано-Франківськ
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_31136111.html;1 950;52 241 грн;Козятин
ВАЗ 21142006;https://auto.ria.com/uk/auto_vaz_2114_30752481.html;2 800;75 012 грн;Овруч
ВАЗ 21071991;https://auto.ria.com/uk/auto_vaz_2107_31136092.html;1 200;32 148 грн;Тернопіль
ВАЗ 21031982;https://auto.ria.com/uk/auto_vaz_2103_31136084.html;399;10 689 грн;Болехів
ВАЗ 21072002;https://auto.ria.com/uk/auto_vaz_2107_31136049.html;1 800;48 222 грн;Київ
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31136034.html;2 600;69 654 грн;Болехів
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31135993.html;1 600;42 864 грн;Житомир
ВАЗ 21142008;https://auto.ria.com/uk/auto_vaz_2114_31135992.html;3 600;96 444 грн;Енергодар
ВАЗ 2101 21011 1.31979;https://auto.ria.com/uk/auto_vaz_2101_17483460.html;850;22 772 грн;Сколе
ВАЗ 21152011;https://auto.ria.com/uk/auto_vaz_2115_31135833.html;2 650;70 994 грн;Київ
ВАЗ 21051987;https://auto.ria.com/uk/auto_vaz_2105_31135840.html;800;21 432 грн;Рожище
ВАЗ 21051988;https://auto.ria.com/uk/auto_vaz_2105_31135863.html;850;22 772 грн;Рівне
ВАЗ 21061995;https://auto.ria.com/uk/auto_vaz_2106_31135854.html;1 800;48 222 грн;Чернівці
ВАЗ 21112005;https://auto.ria.com/uk/auto_vaz_2111_31135828.html;2 800;75 012 грн з ПДВ;Житомир
ВАЗ 21091996;https://auto.ria.com/uk/auto_vaz_2109_31134846.html;1 400;37 506 грн;Дніпро (Дніпропетровськ)
ВАЗ 21011978;https://auto.ria.com/uk/auto_vaz_2101_31135783.html;600;16 074 грн;Одеса
ВАЗ 21099 LPG2010;https://auto.ria.com/uk/auto_vaz_21099_31135794.html;3 300;88 407 грн;Варва
ВАЗ 21091995;https://auto.ria.com/uk/auto_vaz_2109_31135793.html;1 450;38 846 грн;Харків
ВАЗ 21722008;https://auto.ria.com/uk/auto_vaz_2172_31087841.html;3 800;101 802 грн;Запоріжжя
ВАЗ 21081988;https://auto.ria.com/uk/auto_vaz_2108_31135635.html;1 600;42 864 грн;Лисичанськ
ВАЗ 21051995;https://auto.ria.com/uk/auto_vaz_2105_31135701.html;1 100;29 469 грн;Рубіжне
ВАЗ 21102009;https://auto.ria.com/uk/auto_vaz_2110_30332030.html;3 300;88 407 грн;Запоріжжя
ВАЗ 21211983;https://auto.ria.com/uk/auto_vaz_2121_31135661.html;4 500;120 555 грн;Ужгород
ВАЗ 210991995;https://auto.ria.com/uk/auto_vaz_21099_31135670.html;1 750;46 883 грн;Чугуїв
ВАЗ 21102000;https://auto.ria.com/uk/auto_vaz_2110_31135689.html;1 866;50 000 грн;Херсон
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_31135684.html;2 000;53 580 грн;Зіньків
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31135527.html;3 750;100 463 грн;Львів
ВАЗ 21071984;https://auto.ria.com/uk/auto_vaz_2107_31135648.html;1 500;40 185 грн;Шаргород
ВАЗ 21211986;https://auto.ria.com/uk/auto_vaz_2121_31135599.html;3 200;85 728 грн;Тростянець
ВАЗ 2107 210700202008;https://auto.ria.com/uk/auto_vaz_2107_31135593.html;2 600;69 654 грн;Кропивницький (Кіровоград)
ВАЗ 2110 42006;https://auto.ria.com/uk/auto_vaz_2110_26618353.html;3 400;91 086 грн;Кролевець
ВАЗ 11182006;https://auto.ria.com/uk/auto_vaz_1118_30872899.html;3 100;83 049 грн;Кагарлик
ВАЗ 212132003;https://auto.ria.com/uk/auto_vaz_21213_31135564.html;3 600;96 444 грн;Ніжин
ВАЗ 21091989;https://auto.ria.com/uk/auto_vaz_2109_31135555.html;1 600;42 864 грн;Слов'янськ
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_31135557.html;1 300;34 827 грн;Черкаси
ВАЗ 21031976;https://auto.ria.com/uk/auto_vaz_2103_31135502.html;635;17 000 грн;Дніпро (Дніпропетровськ)
ВАЗ 21092001;https://auto.ria.com/uk/auto_vaz_2109_29472245.html;2 499;66 948 грн;Київ
ВАЗ 21152001;https://auto.ria.com/uk/auto_vaz_2115_31135525.html;2 100;56 259 грн;Київ
ВАЗ 21092005;https://auto.ria.com/uk/auto_vaz_2109_31135519.html;1 950;52 241 грн;Львів
ВАЗ 21152011;https://auto.ria.com/uk/auto_vaz_2115_30328180.html;3 550;95 105 грн;Скадовськ
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31135439.html;4 200;112 518 грн;Нікополь
ВАЗ 21061986;https://auto.ria.com/uk/auto_vaz_2106_31135349.html;1 120;30 000 грн;Вінниця
ВАЗ 21011985;https://auto.ria.com/uk/auto_vaz_2101_31135448.html;550;14 735 грн;Вінниця
ВАЗ 21071992;https://auto.ria.com/uk/auto_vaz_2107_31135424.html;1 650;44 204 грн;Чернівці
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_28401990.html;3 000;80 370 грн;Нова Каховка
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31135352.html;3 350;89 747 грн;Шостка
ВАЗ 21722010;https://auto.ria.com/uk/auto_vaz_2172_31135355.html;3 600;96 444 грн;Запоріжжя
ВАЗ 2111 GBO2013;https://auto.ria.com/uk/auto_vaz_2111_31134827.html;4 450;119 216 грн;Вінниця
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_30634250.html;3 200;85 728 грн;Хмельницький
ВАЗ 21072003;https://auto.ria.com/uk/auto_vaz_2107_31135253.html;1 700;45 543 грн;Дубровиця
ВАЗ 2131 kedr 5D2000;https://auto.ria.com/uk/auto_vaz_2131_30192005.html;3 500;93 765 грн;Чернігів
ВАЗ 21072008;https://auto.ria.com/uk/auto_vaz_2107_31135138.html;2 000;53 580 грн;Кам'янське (Дніпродзержинськ)
ВАЗ 210992002;https://auto.ria.com/uk/auto_vaz_21099_31135222.html;2 300;61 617 грн;Суми
ВАЗ 2170 Lux2011;https://auto.ria.com/uk/auto_vaz_2170_31134983.html;5 450;146 006 грн;Запоріжжя
ВАЗ 21042001;https://auto.ria.com/uk/auto_vaz_2104_31135097.html;1 120;30 000 грн;Харків
ВАЗ 210992005;https://auto.ria.com/uk/auto_vaz_21099_30915183.html;1 899;50 874 грн;Луцьк
ВАЗ 21061986;https://auto.ria.com/uk/auto_vaz_2106_31135095.html;600;16 074 грн;Львів
ВАЗ 21092002;https://auto.ria.com/uk/auto_vaz_2109_31135108.html;2 799;74 985 грн;Дніпро (Дніпропетровськ)
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31135091.html;2 600;69 654 грн;Ужгород
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_31135096.html;800;21 432 грн;Маріуполь
ВАЗ 210992005;https://auto.ria.com/uk/auto_vaz_21099_30922252.html;2 500;66 975 грн;Запоріжжя
ВАЗ 11182008;https://auto.ria.com/uk/auto_vaz_1118_31135074.html;3 200;85 728 грн;Хмельницький
ВАЗ 21072008;https://auto.ria.com/uk/auto_vaz_2107_31135028.html;2 500;66 975 грн;Дніпрорудне
ВАЗ 21042008;https://auto.ria.com/uk/auto_vaz_2104_31135047.html;1 200;32 148 грн;Київ
ВАЗ 21061991;https://auto.ria.com/uk/auto_vaz_2106_31134971.html;1 400;37 506 грн з ПДВ;Балта
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_31134960.html;2 300;61 617 грн;Широке
ВАЗ 21142011;https://auto.ria.com/uk/auto_vaz_2114_31134907.html;3 100;83 049 грн;Суми
ВАЗ 21091989;https://auto.ria.com/uk/auto_vaz_2109_31134808.html;800;21 432 грн;Рівне
ВАЗ 21099 original2006;https://auto.ria.com/uk/auto_vaz_21099_31134835.html;2 700;72 333 грн;Новоселиця
ВАЗ 212142010;https://auto.ria.com/uk/auto_vaz_21214_31134595.html;3 700;99 123 грн;Андрушівка
ВАЗ 21011978;https://auto.ria.com/uk/auto_vaz_2101_31134694.html;448;11 999 грн;Бердянськ
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_31134847.html;2 200;58 938 грн;Чернігів
ВАЗ 21081987;https://auto.ria.com/uk/auto_vaz_2108_31134824.html;1 100;29 469 грн;Львів
ВАЗ 21122008;https://auto.ria.com/uk/auto_vaz_2112_30624746.html;2 699;72 306 грн;Луцьк
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_30918096.html;2 100;56 259 грн;Шостка
ВАЗ 2172 hatchback2010;https://auto.ria.com/uk/auto_vaz_2172_31134799.html;3 999;107 133 грн;Прилуки
ВАЗ 2109 210931996;https://auto.ria.com/uk/auto_vaz_2109_31134796.html;850;22 772 грн;Кам'янець-Подільський
ВАЗ 2115 21152004;https://auto.ria.com/uk/auto_vaz_2115_31134757.html;2 400;64 296 грн;Чернівці
ВАЗ 21142012;https://auto.ria.com/uk/auto_vaz_2114_29270043.html;3 350;89 747 грн;Сарни
ВАЗ 210991994;https://auto.ria.com/uk/auto_vaz_21099_31134759.html;1 420;38 042 грн;Луцьк
ВАЗ 21072007;https://auto.ria.com/uk/auto_vaz_2107_31134721.html;2 200;58 938 грн;Тульчин
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31134752.html;1 950;52 241 грн;Прилуки
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31134726.html;3 400;91 086 грн;Шепетівка
ВАЗ 21081989;https://auto.ria.com/uk/auto_vaz_2108_31134587.html;1 500;40 185 грн;Сєвєродонецьк
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31134657.html;2 600;69 654 грн;Київ
ВАЗ 210992005;https://auto.ria.com/uk/auto_vaz_21099_31134624.html;2 800;75 012 грн;Київ
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_30832830.html;3 000;80 370 грн;Борщів
ВАЗ 210992008;https://auto.ria.com/uk/auto_vaz_21099_31134570.html;3 800;101 802 грн;Рубіжне
ВАЗ 21152008;https://auto.ria.com/uk/auto_vaz_2115_30794159.html;2 500;66 975 грн;Богуслав
ВАЗ 21081987;https://auto.ria.com/uk/auto_vaz_2108_30904565.html;1 120;30 005 грн;Луцьк
ВАЗ 21102003;https://auto.ria.com/uk/auto_vaz_2110_31134491.html;2 450;65 636 грн;Полтава
ВАЗ 21092005;https://auto.ria.com/uk/auto_vaz_2109_31134464.html;2 600;69 654 грн;Снятин
ВАЗ 21211978;https://auto.ria.com/uk/auto_vaz_2121_29254067.html;2 650;70 994 грн;Стрий
ВАЗ 2111 1.6 16V2008;https://auto.ria.com/uk/auto_vaz_2111_31134394.html;3 450;92 426 грн;Охтирка
ВАЗ 21051987;https://auto.ria.com/uk/auto_vaz_2105_31134440.html;1 000;26 790 грн;Хмельницький
ВАЗ 21092000;https://auto.ria.com/uk/auto_vaz_2109_31134406.html;2 100;56 259 грн;Зміїв
ВАЗ 21092011;https://auto.ria.com/uk/auto_vaz_2109_31134301.html;3 000;80 370 грн;Покровськ (Красноармійськ)
ВАЗ 21051983;https://auto.ria.com/uk/auto_vaz_2105_31134330.html;800;21 432 грн;Білгород-Дністровський
ВАЗ 21092007;https://auto.ria.com/uk/auto_vaz_2109_29397803.html;2 500;66 975 грн;Львів
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_31123567.html;900;24 111 грн;Вижниця
ВАЗ 21011979;https://auto.ria.com/uk/auto_vaz_2101_31134291.html;850;22 772 грн;Київ
ВАЗ 21011981;https://auto.ria.com/uk/auto_vaz_2101_31130335.html;1 100;29 469 грн;Ромни
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31134276.html;3 000;80 370 грн;Добровеличківка
ВАЗ 2113 vaz 2113402007;https://auto.ria.com/uk/auto_vaz_2113_31134290.html;2 700;72 333 грн;Мангуш
ВАЗ 11182006;https://auto.ria.com/uk/auto_vaz_1118_31134149.html;3 700;99 123 грн;Харків
ВАЗ 21091990;https://auto.ria.com/uk/auto_vaz_2109_31134264.html;1 100;29 469 грн;Сколе
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31134179.html;2 200;58 938 грн;Василівка
ВАЗ 21081987;https://auto.ria.com/uk/auto_vaz_2108_31134143.html;2 600;69 654 грн;Слов'янськ
